region,num_economactivepopulation_all,employed_num_all,unemployed_num_all,eactivity_lvl,employment_lvl,unemployment_lvl,dis_unagegroup_to20,dis_unagegroup_20-29,dis_unagegroup_30-39,dis_unagegroup_40-49,dis_unagegroup_50-59,dis_unagegroup_60older,dis_emagegroup_to20,dis_emagegroup_20-29,dis_emagegroup_30-39,dis_emagegroup_40-49,dis_emagegroup_50-59,dis_emagegroup_60older,num_unagegroup_to20,num_unagegroup_20-29,num_unagegroup_30-39,num_unagegroup_40-49,num_unagegroup_50-59,num_unagegroup_60older,num_emagegroup_to20,num_emagegroup_20-29,num_emagegroup_30-39,num_emagegroup_40-49,num_emagegroup_50-59,num_emagegroup_60older,year
Пензенская область,"746,1","642,2","103,9","64,2","55,3","13,9","2,9","31,3","25,6","26,8","11,5","1,9","2,6","20,6","25,7","30,2","15,5","5,5",3,"32,5","26,6","27,8","11,9",2,"16,7","132,3",165,"193,9","99,5","35,3",2001
Пермская область,"1478,5","1376,8","101,7","65,6","61,1","6,9","6,4","34,2",22,"24,2","10,5","2,8","2,4","23,5","26,5","30,2",14,"3,4","6,5","34,8","22,4","24,6","10,7","2,8",33,"323,5","364,9","415,8","192,8","46,8",2001
Самарская область,"1714,5","1611,1","103,4","67,1",63,6,11,"29,3","22,1","24,7","10,2","2,7","2,8","22,7","25,6","29,3","15,5","4,2","11,4","30,3","22,9","25,5","10,5","2,8","45,1","365,7","412,4","472,1","249,7","67,7",2001
Саратовская область,"1309,5","1178,7","130,8","63,2","56,9",10,"7,2","29,9","25,4","24,4","12,2","0,8","1,5","21,1","27,7","30,3","16,1","3,3","9,4","39,1","33,2","31,9",16,1,"17,7","248,7","326,5","357,1","189,8","38,9",2001
Ульяновская область,"687,3","625,7","61,6","61,7","56,2",9,"2,9","38,4","23,2","23,5","10,9","1,2","2,7","20,6","28,1","31,3","13,7","3,5","1,8","23,7","14,3","14,5","6,7","0,7","16,9","128,9","175,8","195,8","85,7","21,9",2001
Уральский федеральный округ,"6260,2","5686,4","573,7","64,8","58,9","9,2","10,7","30,7","22,9","23,1","9,6","2,9","2,1","23,1","26,2","31,6","13,5","3,5","61,4","176,1","131,4","132,5","55,1","16,6","119,4","1313,6","1489,8","1796,9","767,7",199,2001
Курганская область,"493,9","428,2","65,7","60,1","52,1","13,3","5,4","36,9",26,22,"8,9","0,9","2,6","22,2","25,4","33,3","13,6",3,"3,5","24,2","17,1","14,5","5,8","0,6","11,1","95,1","108,8","142,6","58,2","12,8",2001
Свердловская область,"2321,5","2142,4","179,1","65,4","60,4","7,7","12,2","31,2","20,3","22,8","9,5",4,"2,6","24,3","24,7","30,4","13,6","4,5","21,9","55,9","36,4","40,8",17,"7,2","55,7","520,6","529,2","651,3","291,4","96,4",2001
Тюменская область,"1734,2","1554,3","179,8","69,7","62,4","10,4",10,"31,9","23,2","23,7","8,9","2,4",2,"22,7","28,7","32,8","11,5","2,2",18,"57,4","41,7","42,6",16,"4,3","31,1","352,8","446,1","509,8","178,7","34,2",2001
Ханты-Мансийский автономный округ,"785,3","698,6","86,8","72,8","64,8",11,"11,2","33,5","20,8","21,6",11,"1,9","1,9","22,3","28,9",34,"10,8",2,"9,7","29,1","18,1","18,7","9,5","1,6","13,3","155,8","201,9","237,5","75,4",14,2001
Ямало-Ненецкий автономный округ,"305,1","283,3","21,8","78,4","72,8","7,1","10,8",21,"33,9","25,4",7,2,1,24,"27,2","33,6","12,3","1,9","2,4","4,6","7,4","5,5","1,5","0,4","2,8",68,"77,1","95,2","34,8","5,4",2001
Челябинская область,"1710,6","1561,5","149,1",61,"55,7","8,7","12,1","26,1","24,4","23,2",11,"3,2","1,5","22,1","26,1","31,7","15,2","3,4",18,"38,9","36,4","34,6","16,4","4,8","23,4","345,1","407,6",495,"237,3","53,1",2001
Сибирский федеральный округ,"9874,3","8762,9","1111,4","62,5","55,5","11,3",9,"29,3","22,7","26,5","10,5","2,1","2,7","23,2","26,3","31,1","13,4","3,4",100,"325,6","252,3","294,5","116,7","23,3","236,6",2033,"2304,6","2725,3","1174,2","297,9",2001
Республика Алтай,90,"81,3","8,8","62,4","56,3","9,7","2,4","23,7","33,1","37,4","3,1","0,4","3,3",25,"27,4","31,5","10,2","2,5","0,2","2,1","2,9","3,3","0,3",0,"2,7","20,3","22,3","25,6","8,3",2,2001
Республика Бурятия,"456,2","371,9","84,3",60,"48,9","18,5","10,2","34,3","25,4","20,4","6,7",3,"3,1","23,9","25,3","32,9","11,7","3,2","8,6","28,9","21,4","17,2","5,6","2,5","11,5","88,9","94,1","122,4","43,5","11,9",2001
Республика Тыва,"120,4","91,7","28,7","57,3","43,7","23,9","12,6","36,1","26,5","17,4","5,9","1,5","2,2",28,"28,3","27,4","10,9","3,2","3,6","10,4","7,6",5,"1,7","0,4",2,"25,7",26,"25,1",10,"2,9",2001
Республика Хакасия,"269,3","245,7","23,6","61,3",56,"8,8",8,34,"19,6","26,8","10,5","1,1","2,3","20,2","26,7","33,8","13,9",3,"1,9",8,"4,6","6,3","2,5","0,3","5,7","49,6","65,6",83,"34,2","7,4",2001
Алтайский край,"1236,9","1114,4","122,4","60,9","54,9","9,9",6,"28,1","21,8",33,"8,6","2,6","3,5","22,6","25,4","31,5","14,1","2,9","7,3","34,4","26,7","40,4","10,5","3,2",39,"251,9","283,1",351,"157,1","32,3",2001
Красноярский край,"1539,1","1390,5","148,6",66,"59,6","9,7","7,7","26,9","22,8","29,4","11,6","1,6","2,1","24,3","26,6","30,7","13,3",3,"11,4",40,"33,9","43,7","17,2","2,4","29,2","337,9","369,9","426,9","184,9","41,7",2001
Иркутская область,"1359,1","1211,5","147,6","65,6","58,5","10,9","11,2","29,4","19,9","24,1","13,1","2,3","2,8","23,5","26,1","29,6","13,6","4,4","16,5","43,4","29,4","35,6","19,3","3,4","33,9","284,7","316,2","358,6","164,8","53,3",2001
